"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"institut";"url"
"19.10.2007";"Â";"40 %";"34 %";"8 %";"6 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"05.10.2007";"Â";"43 %";"32 %";"8 %";"6 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"14.09.2007";"Â";"43 %";"30 %";"9 %";"5 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"17.08.2007";"Â";"43 %";"30 %";"8 %";"7 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"20.07.2007";"Â";"45 %";"29 %";"9 %";"7 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"22.06.2007";"Â";"39 %";"31 %";"9 %";"8 %";"10 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"01.06.2007";"Â";"43 %";"31 %";"8 %";"7 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"18.05.2007";"Â";"42 %";"32 %";"9 %";"6 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"20.04.2007";"Â";"39 %";"34 %";"10 %";"7 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"30.03.2007";"Â";"40 %";"31 %";"10 %";"7 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"16.03.2007";"Â";"39 %";"35 %";"8 %";"7 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"02.03.2007";"Â";"41 %";"32 %";"9 %";"9 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"09.02.2007";"Â";"40 %";"30 %";"10 %";"10 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"12.01.2007";"Â";"37 %";"33 %";"10 %";"11 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"15.12.2006";"Â";"40 %";"30 %";"11 %";"9 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"24.11.2006";"Â";"39 %";"30 %";"11 %";"10 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"10.11.2006";"Â";"39 %";"30 %";"10 %";"11 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"27.10.2006";"Â";"36 %";"29 %";"11 %";"11 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"13.10.2006";"Â";"35 %";"33 %";"11 %";"10 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"29.09.2006";"Â";"35 %";"32 %";"10 %";"13 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"01.09.2006";"Â";"38 %";"31 %";"10 %";"10 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"18.08.2006";"Â";"37 %";"30 %";"11 %";"12 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"14.07.2006";"Â";"38 %";"31 %";"10 %";"12 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"16.06.2006";"Â";"39 %";"31 %";"10 %";"9 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"19.05.2006";"Â";"43 %";"31 %";"9 %";"10 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"28.04.2006";"Â";"47 %";"28 %";"8 %";"7 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"07.04.2006";"Â";"44 %";"32 %";"9 %";"5 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"10.03.2006";"Â";"43 %";"32 %";"7 %";"7 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"17.02.2006";"Â";"46 %";"29 %";"9 %";"8 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"27.01.2006";"Â";"48 %";"30 %";"6 %";"7 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"13.01.2006";"Â";"43 %";"31 %";"9 %";"9 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"09.12.2005";"Â";"43 %";"33 %";"8 %";"8 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"25.11.2005";"Â";"40 %";"35 %";"9 %";"8 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"11.11.2005";"Â";"38 %";"31 %";"10 %";"9 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"28.10.2005";"Â";"40 %";"36 %";"8 %";"8 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"14.10.2005";"Â";"41 %";"36 %";"7 %";"7 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"07.10.2005";"Â";"43 %";"34 %";"7 %";"6 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"23.09.2005";"Â";"41 %";"35 %";"9 %";"8 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"Wahl 2005";"Â";"35,2 %";"34,2 %";"8,1 %";"9,8 %";"8,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
