"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"19.08.1999";"Â";"45 %";"34 %";"5 %";"5 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"12.08.1999";"Â";"46 %";"33 %";"5 %";"5 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"05.08.1999";"Â";"44 %";"34 %";"6 %";"6 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"29.07.1999";"Â";"45 %";"33 %";"5 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"22.07.1999";"Â";"46 %";"32 %";"5 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"15.07.1999";"Â";"45 %";"32 %";"5 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"08.07.1999";"Â";"45 %";"33 %";"6 %";"5 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"01.07.1999";"Â";"46 %";"33 %";"6 %";"5 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"24.06.1999";"Â";"45 %";"32 %";"6 %";"5 %";"6 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"17.06.1999";"Â";"45 %";"34 %";"6 %";"4 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"10.06.1999";"Â";"44 %";"34 %";"6 %";"5 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"03.06.1999";"Â";"44 %";"34 %";"5 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"27.05.1999";"Â";"43 %";"35 %";"5 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"20.05.1999";"Â";"43 %";"33 %";"6 %";"6 %";"6 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"12.05.1999";"Â";"43 %";"34 %";"6 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"06.05.1999";"Â";"42 %";"35 %";"6 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"29.04.1999";"Â";"42 %";"37 %";"6 %";"6 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"22.04.1999";"Â";"41 %";"38 %";"5 %";"6 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"15.04.1999";"Â";"42 %";"37 %";"6 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"08.04.1999";"Â";"43 %";"37 %";"6 %";"4 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"01.04.1999";"Â";"44 %";"34 %";"6 %";"5 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"25.03.1999";"Â";"44 %";"34 %";"7 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"18.03.1999";"Â";"43 %";"35 %";"7 %";"5 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"11.03.1999";"Â";"42 %";"37 %";"7 %";"5 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"04.03.1999";"Â";"41 %";"38 %";"6 %";"5 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"25.02.1999";"Â";"42 %";"37 %";"6 %";"6 %";"4 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"18.02.1999";"Â";"41 %";"38 %";"6 %";"5 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"11.02.1999";"Â";"40 %";"38 %";"6 %";"6 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"04.02.1999";"Â";"39 %";"39 %";"6 %";"6 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"28.01.1999";"Â";"39 %";"39 %";"7 %";"5 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"21.01.1999";"Â";"38 %";"39 %";"7 %";"5 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"14.01.1999";"Â";"37 %";"39 %";"7 %";"5 %";"6 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"07.01.1999";"Â";"37 %";"39 %";"7 %";"5 %";"5 %";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
