"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"16.12.1999";"Â";"42 %";"37 %";"6 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"09.12.1999";"Â";"45 %";"34 %";"6 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"02.12.1999";"Â";"45 %";"34 %";"5 %";"4 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"25.11.1999";"Â";"47 %";"33 %";"5 %";"4 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"18.11.1999";"Â";"46 %";"33 %";"6 %";"4 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"11.11.1999";"Â";"45 %";"32 %";"5 %";"5 %";"7 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"04.11.1999";"Â";"47 %";"31 %";"5 %";"4 %";"7 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"28.10.1999";"Â";"44 %";"34 %";"5 %";"4 %";"8 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"21.10.1999";"Â";"44 %";"33 %";"5 %";"4 %";"8 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"14.10.1999";"Â";"43 %";"33 %";"6 %";"4 %";"8 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"07.10.1999";"Â";"43 %";"34 %";"6 %";"4 %";"7 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"30.09.1999";"Â";"45 %";"33 %";"6 %";"5 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"23.09.1999";"Â";"46 %";"32 %";"6 %";"5 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"16.09.1999";"Â";"47 %";"31 %";"6 %";"5 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"09.09.1999";"Â";"48 %";"31 %";"5 %";"5 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"02.09.1999";"Â";"45 %";"33 %";"7 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
"26.08.1999";"Â";"47 %";"32 %";"6 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1999.htm"
