"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"27.04.2001";"Â";"37 %";"39 %";"7 %";"7 %";"5 %";"4 %";"Â";"~1.000";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"20.04.2001";"Â";"37 %";"40 %";"6 %";"7 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"13.04.2001";"Â";"36 %";"40 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"06.04.2001";"Â";"37 %";"40 %";"7 %";"7 %";"4 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"30.03.2001";"Â";"36 %";"41 %";"7 %";"7 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"23.03.2001";"Â";"36 %";"40 %";"7 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"16.03.2001";"Â";"35 %";"40 %";"7 %";"7 %";"5 %";"6 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"09.03.2001";"Â";"35 %";"40 %";"7 %";"7 %";"5 %";"6 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"02.03.2001";"Â";"35 %";"40 %";"6 %";"8 %";"4 %";"7 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"23.02.2001";"Â";"36 %";"40 %";"6 %";"7 %";"5 %";"6 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"16.02.2001";"Â";"34 %";"39 %";"7 %";"10 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"09.02.2001";"Â";"36 %";"40 %";"6 %";"8 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"02.02.2001";"Â";"37 %";"40 %";"7 %";"7 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"19.01.2001";"Â";"39 %";"38 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"12.01.2001";"Â";"38 %";"39 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"05.01.2001";"Â";"37 %";"40 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
