"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"13.12.2001";"Â";"37 %";"38 %";"5 %";"7 %";"8 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"06.12.2001";"Â";"34 %";"41 %";"6 %";"9 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"29.11.2001";"Â";"33 %";"41 %";"6 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"22.11.2001";"Â";"33 %";"42 %";"5 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"15.11.2001";"Â";"33 %";"41 %";"6 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"08.11.2001";"Â";"33 %";"41 %";"6 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"01.11.2001";"Â";"32 %";"41 %";"6 %";"10 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"25.10.2001";"Â";"35 %";"42 %";"6 %";"7 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"18.10.2001";"Â";"35 %";"42 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"11.10.2001";"Â";"34 %";"42 %";"6 %";"8 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"04.10.2001";"Â";"35 %";"42 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"27.09.2001";"Â";"36 %";"41 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"20.09.2001";"Â";"37 %";"40 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"13.09.2001";"Â";"36 %";"37 %";"7 %";"9 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
