"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"06.09.2001";"Â";"37 %";"37 %";"7 %";"9 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"30.08.2001";"Â";"37 %";"36 %";"7 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"23.08.2001";"Â";"36 %";"37 %";"7 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"16.08.2001";"Â";"35 %";"38 %";"7 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"09.08.2001";"Â";"34 %";"39 %";"7 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"02.08.2001";"Â";"33 %";"39 %";"8 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"26.07.2001";"Â";"34 %";"39 %";"7 %";"9 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"19.07.2001";"Â";"34 %";"39 %";"7 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"12.07.2001";"Â";"34 %";"39 %";"7 %";"10 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"05.07.2001";"Â";"35 %";"38 %";"7 %";"10 %";"7 %";"3 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"28.06.2001";"Â";"34 %";"38 %";"7 %";"10 %";"8 %";"3 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"21.06.2001";"Â";"36 %";"39 %";"7 %";"9 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"14.06.2001";"Â";"34 %";"41 %";"7 %";"10 %";"4 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"07.06.2001";"Â";"33 %";"42 %";"6 %";"10 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"31.05.2001";"Â";"34 %";"40 %";"7 %";"10 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"23.05.2001";"Â";"34 %";"40 %";"6 %";"11 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"17.05.2001";"Â";"33 %";"40 %";"6 %";"12 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"10.05.2001";"Â";"33 %";"42 %";"6 %";"9 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"03.05.2001";"Â";"36 %";"41 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"26.04.2001";"Â";"34 %";"41 %";"7 %";"9 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"19.04.2001";"Â";"35 %";"41 %";"6 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"11.04.2001";"Â";"36 %";"42 %";"6 %";"7 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"05.04.2001";"Â";"35 %";"42 %";"6 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"29.03.2001";"Â";"34 %";"41 %";"7 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"22.03.2001";"Â";"34 %";"41 %";"7 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"15.03.2001";"Â";"33 %";"41 %";"7 %";"9 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"08.03.2001";"Â";"33 %";"41 %";"8 %";"8 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"01.03.2001";"Â";"33 %";"41 %";"7 %";"8 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"22.02.2001";"Â";"33 %";"42 %";"8 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"15.02.2001";"Â";"33 %";"42 %";"8 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"08.02.2001";"Â";"34 %";"41 %";"8 %";"8 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"01.02.2001";"Â";"34 %";"40 %";"8 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"25.01.2001";"Â";"35 %";"39 %";"8 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"17.01.2001";"Â";"35 %";"39 %";"7 %";"8 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"10.01.2001";"Â";"36 %";"40 %";"6 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
"03.01.2001";"Â";"37 %";"40 %";"6 %";"6 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2001.htm"
