"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP/DVU";"Sonstige";"institut";"url"
"11.07.1998";"Â";"36 %";"44 %";"6 %";"5 %";"4 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"04.07.1998";"Â";"35 %";"44 %";"7 %";"5 %";"4 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"27.06.1998";"Â";"36 %";"44 %";"7 %";"5 %";"5 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"20.06.1998";"Â";"36 %";"43 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"13.06.1998";"Â";"36 %";"44 %";"7 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"06.06.1998";"Â";"35 %";"44 %";"7 %";"5 %";"4 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"30.05.1998";"Â";"36 %";"44 %";"6 %";"5 %";"4 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"23.05.1998";"Â";"37 %";"43 %";"6 %";"4 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"16.05.1998";"Â";"35 %";"44 %";"6 %";"5 %";"5 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"09.05.1998";"Â";"34 %";"44 %";"6 %";"6 %";"5 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"02.05.1998";"Â";"35 %";"45 %";"6 %";"5 %";"4 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"25.04.1998";"Â";"36 %";"45 %";"6 %";"5 %";"4 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"18.04.1998";"Â";"36 %";"45 %";"6 %";"5 %";"4 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"11.04.1998";"Â";"35 %";"45 %";"6 %";"5 %";"4 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"04.04.1998";"Â";"34 %";"46 %";"6 %";"5 %";"4 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
