"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP/DVU";"Sonstige";"institut";"url"
"19.12.1998";"Â";"38 %";"40 %";"8 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"12.12.1998";"Â";"38 %";"39 %";"8 %";"6 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"05.12.1998";"Â";"39 %";"39 %";"7 %";"5 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"28.11.1998";"Â";"37 %";"42 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"21.11.1998";"Â";"37 %";"42 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"14.11.1998";"Â";"37 %";"41 %";"7 %";"6 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"07.11.1998";"Â";"37 %";"42 %";"7 %";"5 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"31.10.1998";"Â";"36 %";"41 %";"7 %";"6 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"24.10.1998";"Â";"36 %";"40 %";"8 %";"7 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"17.10.1998";"Â";"36 %";"40 %";"8 %";"7 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"10.10.1998";"Â";"36 %";"42 %";"7 %";"6 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"02.10.1998";"Â";"36 %";"41 %";"7 %";"6 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"Wahl 1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"3,1 %";"2,8 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"26.09.1998";"Â";"38 %";"40 %";"7 %";"6 %";"5 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"19.09.1998";"Â";"38 %";"41 %";"7 %";"6 %";"5 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"12.09.1998";"Â";"37 %";"42 %";"7 %";"5 %";"4 %";"4 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"05.09.1998";"Â";"37 %";"43 %";"7 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"29.08.1998";"Â";"38 %";"43 %";"6 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"22.08.1998";"Â";"38 %";"43 %";"6 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"15.08.1998";"Â";"37 %";"42 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"08.08.1998";"Â";"37 %";"42 %";"7 %";"6 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"01.08.1998";"Â";"36 %";"43 %";"7 %";"5 %";"4 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"25.07.1998";"Â";"37 %";"43 %";"7 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
"18.07.1998";"Â";"37 %";"43 %";"7 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1998.htm"
