"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"24.07.1998";"Â";"37 %";"42 %";"6 %";"5 %";"4 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"17.07.1998";"Â";"37 %";"42 %";"5 %";"5 %";"4 %";"4 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"10.07.1998";"Â";"37 %";"42 %";"5 %";"6 %";"4 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"03.07.1998";"Â";"37 %";"42 %";"6 %";"6 %";"5 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"26.06.1998";"Â";"37 %";"42 %";"6 %";"6 %";"5 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"19.06.1998";"Â";"37 %";"42 %";"6 %";"6 %";"4 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"12.06.1998";"Â";"36 %";"41 %";"6 %";"6 %";"5 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"05.06.1998";"Â";"37 %";"43 %";"4 %";"6 %";"4 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"29.05.1998";"Â";"37 %";"44 %";"5 %";"5 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"22.05.1998";"Â";"37 %";"43 %";"6 %";"5 %";"4 %";"2 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"15.05.1998";"Â";"35 %";"43 %";"6 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"08.05.1998";"Â";"35 %";"43 %";"6 %";"6 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"01.05.1998";"Â";"35 %";"44 %";"6 %";"6 %";"4 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"24.04.1998";"Â";"35 %";"43 %";"6 %";"6 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"17.04.1998";"Â";"36 %";"41 %";"6 %";"6 %";"5 %";"â€“";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"10.04.1998";"Â";"35 %";"41 %";"7 %";"6 %";"4 %";"â€“";"7 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"03.04.1998";"Â";"36 %";"41 %";"7 %";"5 %";"4 %";"â€“";"7 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
