"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"18.12.1998";"Â";"37 %";"40 %";"6 %";"5 %";"5 %";"3 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"11.12.1998";"Â";"37 %";"40 %";"6 %";"5 %";"5 %";"3 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"04.12.1998";"Â";"37 %";"40 %";"6 %";"6 %";"5 %";"5 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"27.11.1998";"Â";"36 %";"39 %";"7 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"20.11.1998";"Â";"37 %";"40 %";"6 %";"5 %";"5 %";"4 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"13.11.1998";"Â";"35 %";"42 %";"6 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"06.11.1998";"Â";"36 %";"41 %";"6 %";"5 %";"5 %";"4 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"30.10.1998";"Â";"37 %";"39 %";"7 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"23.10.1998";"Â";"35 %";"42 %";"6 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"16.10.1998";"Â";"35 %";"41 %";"6 %";"6 %";"5 %";"4 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"09.10.1998";"Â";"35 %";"42 %";"6 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"Wahl 1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"3,3 %";"2,6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"25.09.1998";"Â";"39 %";"40 %";"7 %";"5 %";"4 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"18.09.1998";"Â";"39 %";"41 %";"6 %";"5 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"11.09.1998";"Â";"38 %";"41 %";"6 %";"5 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"04.09.1998";"Â";"37 %";"42 %";"6 %";"5 %";"5 %";"4 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"28.08.1998";"Â";"38 %";"41 %";"6 %";"5 %";"4 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"21.08.1998";"Â";"39 %";"42 %";"6 %";"5 %";"4 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"14.08.1998";"Â";"38 %";"41 %";"6 %";"5 %";"4 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"07.08.1998";"Â";"38 %";"41 %";"6 %";"6 %";"4 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
"31.07.1998";"Â";"37 %";"41 %";"7 %";"5 %";"4 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1998.htm"
