"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"26.09.2007";"Â";"39 %";"26 %";"10 %";"9 %";"11 %";"5 %";"Â";"2.502";"17.09.â€“21.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"19.09.2007";"Â";"40 %";"25 %";"9 %";"8 %";"12 %";"6 %";"Â";"2.501";"10.09.â€“14.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"12.09.2007";"Â";"40 %";"25 %";"10 %";"8 %";"11 %";"6 %";"Â";"2.501";"03.09.â€“07.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"05.09.2007";"Â";"38 %";"26 %";"10 %";"9 %";"12 %";"5 %";"Â";"2.500";"27.08.â€“31.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"29.08.2007";"Â";"38 %";"26 %";"10 %";"9 %";"12 %";"5 %";"Â";"2.501";"20.08.â€“24.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"22.08.2007";"Â";"37 %";"26 %";"9 %";"11 %";"12 %";"5 %";"Â";"2.500";"13.08.â€“17.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"15.08.2007";"Â";"38 %";"24 %";"10 %";"10 %";"13 %";"5 %";"Â";"2.502";"06.08.â€“10.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"08.08.2007";"Â";"36 %";"25 %";"9 %";"11 %";"13 %";"6 %";"Â";"2.502";"30.07.â€“03.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"01.08.2007";"Â";"38 %";"25 %";"10 %";"9 %";"13 %";"5 %";"Â";"2.501";"23.07.â€“27.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"25.07.2007";"Â";"38 %";"25 %";"10 %";"9 %";"13 %";"5 %";"Â";"2.501";"16.07.â€“20.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"18.07.2007";"Â";"38 %";"24 %";"10 %";"10 %";"13 %";"5 %";"Â";"2.501";"09.07.â€“13.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"11.07.2007";"Â";"39 %";"24 %";"10 %";"9 %";"13 %";"5 %";"Â";"2.501";"02.07.â€“06.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"04.07.2007";"Â";"37 %";"24 %";"10 %";"10 %";"14 %";"5 %";"Â";"2.503";"25.06.â€“29.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"23.06.2007";"Â";"39 %";"24 %";"10 %";"10 %";"13 %";"4 %";"Â";"2.501";"18.06.â€“22.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"20.06.2007";"Â";"37 %";"25 %";"10 %";"10 %";"12 %";"6 %";"Â";"2.501";"11.06.â€“15.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"13.06.2007";"Â";"38 %";"27 %";"11 %";"8 %";"11 %";"5 %";"Â";"2.501";"04.06.â€“08.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"05.06.2007";"Â";"36 %";"27 %";"11 %";"9 %";"12 %";"5 %";"Â";"2.002";"29.05.â€“01.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"30.05.2007";"Â";"36 %";"26 %";"11 %";"10 %";"12 %";"5 %";"Â";"2.503";"21.05.â€“25.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"23.05.2007";"Â";"38 %";"27 %";"10 %";"10 %";"10 %";"5 %";"Â";"2.002";"14.05.â€“18.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"15.05.2007";"Â";"37 %";"28 %";"10 %";"11 %";"9 %";"5 %";"Â";"2.501";"07.05.â€“11.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"09.05.2007";"Â";"37 %";"26 %";"10 %";"12 %";"10 %";"5 %";"Â";"2.001";"30.04.â€“04.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"30.04.2007";"Â";"37 %";"26 %";"10 %";"11 %";"11 %";"5 %";"Â";"2.503";"23.04.â€“27.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"25.04.2007";"Â";"34 %";"27 %";"11 %";"11 %";"11 %";"6 %";"Â";"2.500";"16.04.â€“20.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"18.04.2007";"Â";"37 %";"26 %";"10 %";"12 %";"10 %";"5 %";"Â";"2.004";"10.04.â€“13.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"11.04.2007";"Â";"36 %";"26 %";"11 %";"11 %";"10 %";"6 %";"Â";"2.004";"02.04.â€“05.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"03.04.2007";"Â";"35 %";"28 %";"10 %";"11 %";"10 %";"6 %";"Â";"2.505";"26.03.â€“30.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"28.03.2007";"Â";"35 %";"26 %";"12 %";"12 %";"9 %";"6 %";"Â";"2.508";"19.03.â€“23.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"21.03.2007";"Â";"35 %";"27 %";"11 %";"11 %";"10 %";"6 %";"Â";"2.498";"12.03.â€“16.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"14.03.2007";"Â";"34 %";"26 %";"12 %";"12 %";"10 %";"6 %";"Â";"2.509";"05.03.â€“09.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"07.03.2007";"Â";"35 %";"25 %";"11 %";"13 %";"10 %";"6 %";"Â";"2.502";"26.02.â€“02.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"28.02.2007";"Â";"33 %";"29 %";"11 %";"12 %";"9 %";"6 %";"Â";"2.502";"19.02.â€“23.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"21.02.2007";"Â";"34 %";"26 %";"12 %";"12 %";"10 %";"6 %";"Â";"2.504";"12.02.â€“16.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"14.02.2007";"Â";"35 %";"26 %";"11 %";"13 %";"9 %";"6 %";"Â";"2.507";"08.02.â€“09.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"06.02.2007";"Â";"34 %";"28 %";"11 %";"12 %";"9 %";"6 %";"Â";"2.501";"29.01.â€“02.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"31.01.2007";"Â";"33 %";"27 %";"11 %";"14 %";"9 %";"6 %";"Â";"2.501";"22.01.â€“26.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"24.01.2007";"Â";"34 %";"27 %";"10 %";"14 %";"9 %";"6 %";"Â";"2.503";"15.01.â€“19.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"17.01.2007";"Â";"33 %";"28 %";"11 %";"14 %";"8 %";"6 %";"Â";"2.501";"08.01.â€“12.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"10.01.2007";"Â";"35 %";"26 %";"10 %";"13 %";"10 %";"6 %";"Â";"2.007";"02.01.â€“05.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"03.01.2007";"Â";"32 %";"27 %";"11 %";"14 %";"10 %";"6 %";"Â";"1.502";"27.12.â€“29.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
