"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"26.12.2007";"Â";"38 %";"26 %";"10 %";"10 %";"11 %";"5 %";"Â";"2.501";"17.12.â€“21.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"19.12.2007";"Â";"38 %";"26 %";"10 %";"10 %";"11 %";"5 %";"Â";"2.503";"10.12.â€“14.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"12.12.2007";"Â";"39 %";"26 %";"9 %";"10 %";"11 %";"5 %";"Â";"2.501";"03.12.â€“07.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"05.12.2007";"Â";"39 %";"27 %";"9 %";"10 %";"10 %";"5 %";"Â";"2.500";"26.11.â€“30.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"28.11.2007";"Â";"39 %";"26 %";"8 %";"10 %";"12 %";"5 %";"Â";"2.500";"19.11.â€“23.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"21.11.2007";"Â";"40 %";"24 %";"9 %";"9 %";"12 %";"6 %";"Â";"2.501";"12.11.â€“16.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"14.11.2007";"Â";"39 %";"26 %";"8 %";"10 %";"12 %";"5 %";"Â";"2.503";"05.11.â€“09.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"07.11.2007";"Â";"40 %";"26 %";"10 %";"8 %";"11 %";"5 %";"Â";"2.502";"29.10.â€“02.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"29.10.2007";"Â";"39 %";"26 %";"10 %";"9 %";"11 %";"5 %";"Â";"2.503";"22.10.â€“26.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"24.10.2007";"Â";"39 %";"26 %";"9 %";"10 %";"11 %";"5 %";"Â";"2.502";"15.10.â€“19.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"17.10.2007";"Â";"40 %";"25 %";"10 %";"9 %";"11 %";"5 %";"Â";"2.502";"08.10.â€“12.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"10.10.2007";"Â";"39 %";"24 %";"9 %";"9 %";"13 %";"6 %";"Â";"2.002";"01.10.â€“05.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
"03.10.2007";"Â";"39 %";"25 %";"10 %";"9 %";"12 %";"5 %";"Â";"2.501";"24.09.â€“28.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2007.htm"
