"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"28.07.2000";"Â";"35 %";"40 %";"6 %";"8 %";"5 %";"â€“";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"21.07.2000";"Â";"36 %";"39 %";"6 %";"9 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"14.07.2000";"Â";"37 %";"38 %";"6 %";"9 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"07.07.2000";"Â";"36 %";"38 %";"6 %";"10 %";"6 %";"â€“";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"30.06.2000";"Â";"37 %";"38 %";"6 %";"9 %";"5 %";"â€“";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"23.06.2000";"Â";"39 %";"37 %";"6 %";"9 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"16.06.2000";"Â";"37 %";"38 %";"7 %";"9 %";"5 %";"â€“";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"09.06.2000";"Â";"37 %";"39 %";"6 %";"8 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"02.06.2000";"Â";"36 %";"39 %";"6 %";"9 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"26.05.2000";"Â";"36 %";"40 %";"6 %";"9 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"19.05.2000";"Â";"37 %";"40 %";"6 %";"8 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"12.05.2000";"Â";"37 %";"41 %";"6 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"05.05.2000";"Â";"38 %";"40 %";"7 %";"6 %";"6 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"28.04.2000";"Â";"38 %";"39 %";"7 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
