"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP/DVU";"Sonstige";"institut";"url"
"24.12.1999";"Â";"43 %";"35 %";"6 %";"5 %";"7 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"18.12.1999";"Â";"45 %";"35 %";"6 %";"5 %";"6 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"11.12.1999";"Â";"45 %";"34 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"04.12.1999";"Â";"47 %";"32 %";"5 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"27.11.1999";"Â";"48 %";"31 %";"5 %";"4 %";"7 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"20.11.1999";"Â";"48 %";"31 %";"6 %";"5 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"13.11.1999";"Â";"49 %";"30 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"06.11.1999";"Â";"49 %";"30 %";"6 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"30.10.1999";"Â";"49 %";"30 %";"5 %";"5 %";"8 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"23.10.1999";"Â";"48 %";"30 %";"6 %";"5 %";"8 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"16.10.1999";"Â";"48 %";"31 %";"6 %";"5 %";"7 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"09.10.1999";"Â";"48 %";"31 %";"6 %";"5 %";"7 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"02.10.1999";"Â";"48 %";"31 %";"6 %";"4 %";"7 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"25.09.1999";"Â";"48 %";"31 %";"6 %";"5 %";"7 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"18.09.1999";"Â";"47 %";"32 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"11.09.1999";"Â";"46 %";"33 %";"6 %";"5 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"04.09.1999";"Â";"46 %";"32 %";"7 %";"6 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"28.08.1999";"Â";"47 %";"32 %";"6 %";"5 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"21.08.1999";"Â";"47 %";"32 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"14.08.1999";"Â";"46 %";"33 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"07.08.1999";"Â";"46 %";"33 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"31.07.1999";"Â";"45 %";"33 %";"7 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"24.07.1999";"Â";"45 %";"33 %";"7 %";"5 %";"6 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"17.07.1999";"Â";"44 %";"34 %";"6 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"10.07.1999";"Â";"44 %";"35 %";"6 %";"5 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"03.07.1999";"Â";"45 %";"33 %";"6 %";"5 %";"6 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"26.06.1999";"Â";"45 %";"33 %";"6 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"19.06.1999";"Â";"46 %";"33 %";"7 %";"5 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"12.06.1999";"Â";"43 %";"37 %";"6 %";"5 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"05.06.1999";"Â";"45 %";"34 %";"6 %";"5 %";"6 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"29.05.1999";"Â";"43 %";"36 %";"6 %";"5 %";"6 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"22.05.1999";"Â";"44 %";"35 %";"7 %";"5 %";"6 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"15.05.1999";"Â";"44 %";"36 %";"6 %";"5 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"08.05.1999";"Â";"42 %";"37 %";"6 %";"5 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"01.05.1999";"Â";"42 %";"37 %";"5 %";"5 %";"6 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"24.04.1999";"Â";"43 %";"35 %";"6 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"17.04.1999";"Â";"43 %";"36 %";"6 %";"5 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"10.04.1999";"Â";"43 %";"35 %";"6 %";"5 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"03.04.1999";"Â";"43 %";"36 %";"6 %";"5 %";"6 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"27.03.1999";"Â";"43 %";"36 %";"7 %";"5 %";"6 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"20.03.1999";"Â";"43 %";"38 %";"6 %";"5 %";"5 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"13.03.1999";"Â";"42 %";"38 %";"6 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"06.03.1999";"Â";"41 %";"38 %";"6 %";"5 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"27.02.1999";"Â";"41 %";"40 %";"6 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"20.02.1999";"Â";"41 %";"39 %";"6 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"13.02.1999";"Â";"41 %";"38 %";"6 %";"5 %";"5 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"06.02.1999";"Â";"39 %";"40 %";"7 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"30.01.1999";"Â";"39 %";"41 %";"6 %";"5 %";"4 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"23.01.1999";"Â";"40 %";"40 %";"6 %";"5 %";"5 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"16.01.1999";"Â";"39 %";"41 %";"7 %";"6 %";"4 %";"2 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
"09.01.1999";"Â";"39 %";"41 %";"7 %";"5 %";"4 %";"3 %";"1 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/1999.htm"
