Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
berlin	Kabinett Momper 	1989-1991		SPD, Bündnis 90/Die Grünen	Walter Momper
berlin	Kabinett Müller I	2014-2016		SPD, CDU	Michael Müller
berlin	Kabinett Müller II	2016-		SPD, Linke, Grüne	Michael Müller
berlin	Kabinett Reuter	1951-1953		SPD, CDU, FDP	Ernst Reuter
berlin	Kabinett Schreiber	1953-1955		CDU, FDP	Walther Schreiber
berlin	Kabinett Schütz I	1967-1971		SPD, FDP	Klaus Schütz
berlin	Kabinett Schütz II	1971-1975		SPD	Klaus Schütz
berlin	Kabinett Schütz III	1975-1977		SPD, FDP	Klaus Schütz
berlin	Kabinett Stobbe I	1977-1979		SPD, FDP	Dietrich Stobbe
berlin	Kabinett Stobbe II	1979-1981		SPD, FDP	Dietrich Stobbe
berlin	Kabinett Suhr 	1955-1957		SPD, CDU	Otto Suhr
berlin	Kabinett Vogel	1981-1981		SPD, FDP	Hans-Jochen Vogel
berlin	Kabinett Weizsäcker	1981-1984		CDU, FDP	Richard von Weizsäcker
berlin	Kabinett Wowereit I	2001-2002		SPD, Grüne	Klaus Wowereit
berlin	Kabinett Wowereit II	2002-2006		SPD, PDS	Klaus Wowereit
berlin	Kabinett Wowereit III	2006-2011		SPD, Linke	Klaus Wowereit
berlin	Kabinett Wowereit IV	2011-2014		SPD, CDU	Klaus Wowereit
brandenburg	Kabinett Stolpe I	1990-1994		SPD, FDP, Grüne	Manfred Stolpe
brandenburg	Kabinett Stolpe II	1994-1999		SPD	Manfred Stolpe
brandenburg	Kabinett Stolpe III	1999-2002		SPD, CDU	Manfred Stolpe
brandenburg	Kabinett Platzeck I	2002-2004		SPD, CDU	Matthias Platzeck
brandenburg	Kabinett Platzeck II	2004-2009		SPD, CDU	Matthias Platzeck
brandenburg	Kabinett Platzeck III	2009-2013		SPD, Linke	Matthias Platzeck
brandenburg	Kabinett Woidke I	2013-2014		SPD, Linke	Dietmar Woidke
brandenburg	Kabinett Woidke II	2014-		SPD, Linke	Dietmar Woidke
bremen	Vagts	1945-1945		SPD, BDV, KPD	Erich Vagts (parteilos)
bremen	Kaisen I	1945–1946		SPD, BDV, KPD	Wilhelm Kaisen (SPD)
bremen	Kaisen II	1946–1948		SPD, BDV	Wilhelm Kaisen (SPD)
bremen	Kaisen III	1948–1951		SPD, BDV	Wilhelm Kaisen (SPD)
bremen	Kaisen IV	1951–1955		SPD, FDP, CDU	Wilhelm Kaisen (SPD)
bremen	Kaisen V	1955–1959		SPD, CDU, FDP	Wilhelm Kaisen (SPD)
bremen	Kaisen VI	1959–1963		SPD, FDP	Wilhelm Kaisen (SPD)
bremen	Kaisen VII	1963–1965		SPD, FDP	Wilhelm Kaisen (SPD)
bremen	Dehnkamp	1965–1967		SPD, FDP	Willy Dehnkamp (SPD)
bremen	Koschnick I	1967–1971		SPD, FDP (bis 1. Juni 1971)2	Hans Koschnick (SPD)
bremen	Koschnick II	1971–1975		SPD	Hans Koschnick (SPD)
bremen	Koschnick III	1975–1979		SPD	Hans Koschnick (SPD)
bremen	Koschnick IV	1979–1983		SPD	Hans Koschnick (SPD)
bremen	Koschnick V	1983–1985		SPD	Hans Koschnick (SPD)
bremen	Wedemeier I	1985–1987		SPD	Klaus Wedemeier (SPD)
bremen	Wedemeier II	1987–1991		SPD	Klaus Wedemeier (SPD)
bremen	Wedemeier III	1991–1995		SPD, Die Grünen3, FDP	Klaus Wedemeier (SPD)
bremen	Scherf I	1995–1999		SPD, CDU	Henning Scherf (SPD)
bremen	Scherf II	1999–2003		SPD, CDU	Henning Scherf (SPD)
bremen	Scherf III	2003–2005		SPD, CDU	Henning Scherf (SPD)
bremen	Böhrnsen I	2005–2007		SPD, CDU	Jens Böhrnsen (SPD)
bremen	Böhrnsen II	2007–2011		SPD, Bündnis 90/Die Grünen	Jens Böhrnsen (SPD)
bremen	Böhrnsen III	2011–2015		SPD, Bündnis 90/Die Grünen	Jens Böhrnsen (SPD)
bremen	Sieling	2015-		SPD, Bündnis 90/Die Grünen	Carsten Sieling (SPD)
hessen	Geiler	1945–1946		SPD, CDU, KPD, Parteilose	Karl Geiler
hessen	Stock	1946–1950		SPD, CDU	Christian Stock
hessen	Zinn I	1950–1954		SPD	Georg-August Zinn
hessen	Zinn II	1954–1958		SPD, GB/BHE	Georg-August Zinn
hessen	Zinn III	1958–1962		SPD, GB/BHE	Georg-August Zinn
hessen	Zinn IV	1962–1966		SPD, GDP	Georg-August Zinn
hessen	Zinn V	1966–1969		SPD	Georg-August Zinn
hessen	Osswald I	1969–1970		SPD	Albert Osswald
hessen	Osswald II	1970–1974		SPD, FDP	Albert Osswald
hessen	Osswald III	1974–1976		SPD, FDP	Albert Osswald
hessen	Börner I	1976–1978		SPD, FDP	Holger Börner
hessen	Börner II	1978–1984		SPD, FDP	Holger Börner
hessen	Börner III	1984–1987		SPD, Grüne	Holger Börner
hessen	Wallmann	1987–1991		CDU, FDP	Walter Wallmann
hessen	Eichel I	1991–1995		SPD, Grüne	Hans Eichel
hessen	Eichel II	1995–1999		SPD, Grüne	Hans Eichel
hessen	Koch I	1999–2003		CDU, FDP	Roland Koch
hessen	Koch II	2003–2009		CDU	Roland Koch
hessen	Koch III	2009–2010		CDU, FDP	Roland Koch
hessen	Bouffier I	2010–2014		CDU, FDP	Volker Bouffier
hessen	Bouffier II	2014-		CDU, Grüne	Volker Bouffier
mecklenburg-vorpommern	Kabinett Gomolka	1990-1992	28.10.1990–19.03.1992	CDU, FDP	Alfred Gomolka (CDU)
mecklenburg-vorpommern	Kabinett Seite I	1992-1994	19.03.1992–08.12.1994	CDU, FDP	Berndt Seite (CDU)
mecklenburg-vorpommern	Kabinett Seite II	1994-1998	08.12.1994–03.11.1998	CDU, SPD	Berndt Seite (CDU)
mecklenburg-vorpommern	Kabinett Ringstorff I	1998-2002	03.11.1998–06.11.2002	SPD, PDS	Harald Ringstorff (SPD)
mecklenburg-vorpommern	Kabinett Ringstorff II	2002-2006	06.11.2002–07.11.2006	SPD, PDS	Harald Ringstorff (SPD)
mecklenburg-vorpommern	Kabinett Ringstorff III	2006-2008	07.11.2006–06.10.2008	SPD, CDU	Harald Ringstorff (SPD)
mecklenburg-vorpommern	Kabinett Sellering I	2008-2011	06.10.2008–25.10.2011	SPD, CDU	Erwin Sellering (SPD)
mecklenburg-vorpommern	Kabinett Sellering II	2011-2016	25.10.2011–01.11.2016	SPD, CDU	Erwin Sellering (SPD)
mecklenburg-vorpommern	Kabinett Sellering III	2016-2017	01.11.2016–04.07.2017	SPD, CDU	Erwin Sellering (SPD)
mecklenburg-vorpommern	Kabinett Schwesig	2017-	04.07.2017–	SPD, CDU	Manuela Schwesig (SPD)
nordrhein-westfalen	Kabinett Amelunxen I	1946-1946	29.08.1946-05.12.1946	Zentrum, SPD, KPD, FDP (ab 10. September 1946)	Rudolf Amelunxen(fraktionslos/Zentrum)
nordrhein-westfalen	Kabinett Amelunxen II	1946-1947	05.12.1946-17.06.1947	CDU, Zentrum, SPD, KPD, FDP	Rudolf Amelunxen(fraktionslos/Zentrum)
nordrhein-westfalen	Kabinett Arnold I	1947-1950	17.06.1947-01.08.1950	CDU, Zentrum, SPD, KPD (bis 7. Februar 1948)	Karl Arnold (CDU)
nordrhein-westfalen	Kabinett Arnold II	1950-1950	01.08.1950-15.09.1950	CDU	Karl Arnold (CDU)
nordrhein-westfalen	Kabinett Arnold II-II	1950-1954	15.09.1950-27.07.1954	CDU, Zentrum	Karl Arnold (CDU)
nordrhein-westfalen	Kabinett Arnold III	1954-1956	27.07.1954-28.02.1956	CDU, FDP, Zentrum	Karl Arnold (CDU)
nordrhein-westfalen	Kabinett Steinhoff	1956-1958	28.02.1956-24.07.1958	SPD, FDP, Zentrum	Fritz Steinhoff (SPD)
nordrhein-westfalen	Kabinett Meyers I	1958-1962	24.07.1958-26.07.1962	CDU	Franz Meyers (CDU)
nordrhein-westfalen	Kabinett Meyers II	1962-1966	26.07.1962-26.07.1966	CDU, FDP	Franz Meyers (CDU)
nordrhein-westfalen	Kabinett Meyers III	1966-1966	26.07.1966-08.12.1966	CDU, FDP	Franz Meyers (CDU)
nordrhein-westfalen	Kabinett Kühn I	1966-1970	08.12.1966-28.07.1970	SPD, FDP	Heinz Kühn (SPD)
nordrhein-westfalen	Kabinett Kühn II	1970-1975	28.07.1970-04.06.1975	SPD, FDP	Heinz Kühn (SPD)
nordrhein-westfalen	Kabinett Kühn III	1975-1978	04.06.1975-20.09.1978	SPD, FDP	Heinz Kühn (SPD)
nordrhein-westfalen	Kabinett Rau I	1978-1980	20.09.1978-04.06.1980	SPD, FDP	Johannes Rau (SPD)
nordrhein-westfalen	Kabinett Rau II	1980-1985	04.06.1980-05.06.1985	SPD	Johannes Rau (SPD)
nordrhein-westfalen	Kabinett Rau III	1985-1990	05.06.1985-12.06.1990	SPD	Johannes Rau (SPD)
nordrhein-westfalen	Kabinett Rau IV	1990-1995	12.06.1990-17.07.1995	SPD	Johannes Rau (SPD)
nordrhein-westfalen	Kabinett Rau V	1995-1998	17.07.1995-09.06.1998	SPD, Bündnis 90/Die Grünen	Johannes Rau (SPD)
nordrhein-westfalen	Kabinett Clement I	1998-2000	09.06.1998-27.06.2000	SPD, Bündnis 90/Die Grünen	Wolfgang Clement(SPD)
nordrhein-westfalen	Kabinett Clement II	2000-2002	27.06.2000-12.11.2002	SPD, Bündnis 90/Die Grünen	Wolfgang Clement(SPD)
nordrhein-westfalen	Kabinett Steinbrück	2002-2005	12.11.2002-24.06.2005	SPD, Bündnis 90/Die Grünen	Peer Steinbrück (SPD)
nordrhein-westfalen	Kabinett Rüttgers	2005-2010	24.06.2005-15.07.2010	CDU, FDP	Jürgen Rüttgers (CDU)
nordrhein-westfalen	Kabinett Kraft I	2010-2012	15.07.2010-21.06.2012	SPD, Bündnis 90/Die Grünen	Hannelore Kraft (SPD)
nordrhein-westfalen	Kabinett Kraft II	2012-2017	21.06.2012-30.06.2017	SPD, Bündnis 90/Die Grünen	Hannelore Kraft (SPD)
nordrhein-westfalen	Kabinett Laschet	2017-	30.06.2017-	CDU, FDP	Armin Laschet (CDU)
rheinland-pfalz	Boden I 	1946-1947	03.12.1946-13.06.1947	CDU, SPD	Wilhelm Boden
rheinland-pfalz	Boden II	1947-1947	13.06.1947-09.07.1947	CDU	Wilhelm Boden
