Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
schleswig-holstein	Kabinett Carstensen I	2005–2009		CDU, SPD (bis 21. Juli 2009)	Peter Harry Carstensen(CDU)
schleswig-holstein	Kabinett Carstensen II	2009–2012		CDU, FDP	Peter Harry Carstensen(CDU)
schleswig-holstein	Kabinett Albig	2012–2017		SPD, Bündnis 90/Die Grünen, SSW	Torsten Albig (SPD)
schleswig-holstein	Kabinett Günther	2017-		CDU, Bündnis 90/Die Grünen, FDP	Daniel Günther (CDU)
niedersachsen	Kopf I	1946–1947		SPD, CDU, FDP, NLP, KPD	Hinrich Wilhelm Kopf
niedersachsen	Kopf II	1947–1948		SPD, CDU, FDP, DP, Zentrum, KPD	Hinrich Wilhelm Kopf
niedersachsen	Kopf III	1948–1951		SPD, CDU, Zentrum	Hinrich Wilhelm Kopf
niedersachsen	Kopf IV	1951–1955		SPD, BHE, Zentrum	Hinrich Wilhelm Kopf
niedersachsen	Hellwege I	1955–1957		DP, CDU, GB/BHE, FDP	Heinrich Hellwege
niedersachsen	Hellwege II	1957–1959		DP, SPD, CDU	Heinrich Hellwege
niedersachsen	Kopf V	1959–1961		SPD, FDP, GB/BHE	Hinrich Wilhelm Kopf
niedersachsen	Diederichs I	1961–1963		SPD, FDP, GB/BHE	Georg Diederichs
niedersachsen	Diederichs II	1963–1965		SPD, FDP	Georg Diederichs
niedersachsen	Diederichs III	1965–1967		SPD, CDU	Georg Diederichs
niedersachsen	Diederichs IV	1967–1970		SPD, CDU	Georg Diederichs
niedersachsen	Kubel I	1970–1974		SPD	Alfred Kubel
niedersachsen	Kubel II	1974–1976		SPD, FDP	Alfred Kubel
niedersachsen	Albrecht I	1976–1977		CDU	Ernst Albrecht
niedersachsen	Albrecht II	1977–1978		CDU, FDP	Ernst Albrecht
niedersachsen	Albrecht III	1978–1982		CDU	Ernst Albrecht
niedersachsen	Albrecht IV	1982–1986		CDU	Ernst Albrecht
niedersachsen	Albrecht V	1986–1990		CDU, FDP	Ernst Albrecht
niedersachsen	Schröder I	1990–1994		SPD, Bündnis 90/Die Grünen	Gerhard Schröder
niedersachsen	Schröder II	1994–1998		SPD	Gerhard Schröder
niedersachsen	Schröder III	1998-1998		SPD	Gerhard Schröder
niedersachsen	Glogowski	1998–1999		SPD	Gerhard Glogowski
niedersachsen	Gabriel	1999–2003		SPD	Sigmar Gabriel
niedersachsen	Wulff I	2003–2008		CDU, FDP	Christian Wulff
niedersachsen	Wulff II	2008–2010		CDU, FDP	Christian Wulff
niedersachsen	McAllister	2010–2013		CDU, FDP	David McAllister
niedersachsen	Weil I	2013–2017		SPD, Bündnis 90/Die Grünen	Stephan Weil
niedersachsen	Weil II	2017-		SPD, CDU	Stephan Weil
hamburg	Petersen	1945-1946	15.05.1945-15.11.1946	CDU, SPD, KPD, FDP	Rudolf Petersen
hamburg	Brauer I	1946-1950	15.11.1946-28.02.1950	SPD, FDP, KPD	Max Brauer
hamburg	Brauer II	1950-1953	28.02.1950-02.12.1953	SPD	Max Brauer
hamburg	Sieveking	1953-1957	02.12.1953-21.12.1957	CDU, FDP, DP	Kurt Sieveking
hamburg	Brauer III	1957-1961	21.12.1957-01.01.1961	SPD, FDP	Max Brauer
hamburg	Nevermann I	1961-1961	01.01.1961-13.12.1961	SPD, FDP	Paul Nevermann
hamburg	Nevermann II	1961-1965	13.12.1961-09.06.1965	SPD, FDP	Paul Nevermann
hamburg	Weichmann I	1965-1966	09.06.1965-27.04.1966	SPD, FDP	Herbert Weichmann
hamburg	Weichmann II	1966-1970	27.04.1966-20.04.1970	SPD	Herbert Weichmann
hamburg	Weichmann III	1970-1971	20.04.1970-09.06.1971	SPD, FDP	Herbert Weichmann
hamburg	Schulz I	1971-1974	09.06.1971-30.04.1974	SPD, FDP	Peter Schulz
hamburg	Schulz II	1974-1974	30.04.1974-12.11.1974	SPD, FDP	Peter Schulz
hamburg	Klose I	1974-1978	12.11.1974-28.06.1978	SPD, FDP	Hans-Ulrich Klose
hamburg	Klose II	1978-1981	28.06.1978-24.06.1981	SPD	Hans-Ulrich Klose
hamburg	Dohnanyi I	1981-1984	24.06.1981-02.02.1984	SPD	Klaus von Dohnanyi
hamburg	Dohnanyi II	1984-1987	02.02.1984-20.01.1987	SPD	Klaus von Dohnanyi
hamburg	Dohnanyi III	1981-1987	20.01.1981-20.09.1987	SPD	Klaus von Dohnanyi
hamburg	Dohnanyi IV	1987-1988	20.09.1987-08.06.1988	SPD, FDP	Klaus von Dohnanyi
hamburg	Voscherau I	1988-1991	08.06.1988-26.06.1991	SPD, FDP	Henning Voscherau
hamburg	Voscherau II	1991-1993	26.06.1991-15.12.1993	SPD	Henning Voscherau
hamburg	Voscherau III	1993-1997	15.12.1993-12.11.1997	SPD	Henning Voscherau
hamburg	Runde	1997-2001	12.11.1997-31.10.2001	SPD, Grüne	Ortwin Runde
hamburg	Beust I	2001-2004	31.10.2001-17.03.2004	CDU, FDP, PRO	Ole von Beust
hamburg	Beust II	2004-2008	17.03.2004-07.05.2008	CDU	Ole von Beust
hamburg	Beust III	2008-2010	07.05.2008-25.08.2010	CDU, Grüne	Ole von Beust
hamburg	Ahlhaus	2010-2011	25.08.2010-07.03.2011	CDU, Grüne	Christoph Ahlhaus
hamburg	Scholz I	2011-2015	07.03.2011-15.04.2015	SPD	Olaf Scholz
hamburg	Scholz II	2015-2018	15.04.2015-28.03.2018	SPD, Grüne	Olaf Scholz
hamburg	Tschentscher	2018-	28.03.2018-	SPD, Grüne	Peter Tschentscher
